capture_order,priority_tier,list_rank,brand,product_id,handle,title,product_type,category_guess,unit_basis,storefront_url,storefront_sku,ocr_candidate,ocr_candidate_rule,photo_stem,capture_status,capture_date,shop,captured_by,product_name_as_printed,shade_as_printed,item_number_as_printed,barcode_digits,barcode_source,sold_with_carton,net_contents_as_printed,net_contents_location,pack_count,form_as_seen,origin_line_as_printed,photo_front,photo_net_contents,photo_barcode,photo_other,ocr_candidate_confirmed,notes
72,1,145,Milani,7601847763120,conceal-perfect-sun-kissed-liquid-bronzing-drops,Conceal + Perfect Sun Kissed Liquid Bronzing Drops,,bronzer,weight,https://www.milanicosmetics.com/products/conceal-perfect-sun-kissed-liquid-bronzing-drops,M050110001|M050120001|M050130001,,,145_milani_conceal-perfect-sun-kissed-liquid-bronzing-drops,,,,,,,,,,,,,,,,,,,,,
73,1,149,Milani,55849058319,color-statement-matte-lipstick,Color Statement Matte Lipstick,,lipstick,weight,https://www.milanicosmetics.com/products/color-statement-matte-lipstick,MLSN-61|MLSN-65|MLSN-67|MLSN-69|MLSN-72|MLSN-74|+2 more,,,149_milani_color-statement-matte-lipstick,,,,,,,,,,,,,,,,,,,,,
74,1,150,Milani,6662799032496,highly-rated-diamond-lip-gloss,Highly Rated Diamond Lip Gloss,,lip_gloss,volume,https://www.milanicosmetics.com/products/highly-rated-diamond-lip-gloss,LGL184-100,,,150_milani_highly-rated-diamond-lip-gloss,,,,,,,,,,,,,,,,,,,,,
75,1,154,Physicians Formula,10034469470517,rose-all-play-eyeshadow-bouquet,Rosé All Play Eyeshadow Bouquet,Eye Shadows,eyeshadow_single,weight,https://www.physiciansformula.com/products/rose-all-play-eyeshadow-bouquet,1711516,Total Net Wt. / Poids Net Total: 13.7 g / 0.48 Oz.,primary,154_physicians_formula_rose-all-play-eyeshadow-bouquet,,,,,,,,,,,,,,,,,,,,,
76,1,159,Physicians Formula,10034454561077,magic-mosaicr-multi-colored-custom-pressed-powder-warm-beige-light-bronzer,Magic Mosaic® Multi-Colored Custom Pressed Powder | Warm Beige/Light Bronzer,Face Powder,bronzer,weight,https://www.physiciansformula.com/products/magic-mosaicr-multi-colored-custom-pressed-powder-warm-beige-light-bronzer,2459,,,159_physicians_formula_magic-mosaicr-multi-colored-custom-pressed-powder-warm-beige-light-bronzer,,,,,,,,,,,,,,,,,,,,,
77,1,160,Physicians Formula,10034485035317,murumuru-butter-lip-brazilian-berry,Butter Tinted Lip Conditioner  | Brazilian Berry,Lip Balms,lipstick,weight,https://www.physiciansformula.com/products/murumuru-butter-lip-brazilian-berry,1741099,,,160_physicians_formula_murumuru-butter-lip-brazilian-berry,,,,,,,,,,,,,,,,,,,,,
78,1,162,Physicians Formula,10034477531445,mineral-wear-diamond-lip-plumper-diamond-marquise,Mineral Wear® Diamond Lip Plumper | Diamond Marquise,Lip Gloss,lip_gloss,volume,https://www.physiciansformula.com/products/mineral-wear-diamond-lip-plumper-diamond-marquise,1711948,,,162_physicians_formula_mineral-wear-diamond-lip-plumper-diamond-marquise,,,,,,,,,,,,,,,,,,,,,
79,1,166,Physicians Formula,10034479923509,mineral-wear-diamond-melt-allic-bronze-brilliance,Mineral Wear Diamond Melt-allic | Bronze Brilliance,Eye Shadows,eyeshadow_single,weight,https://www.physiciansformula.com/products/mineral-wear-diamond-melt-allic-bronze-brilliance,1711945,,,166_physicians_formula_mineral-wear-diamond-melt-allic-bronze-brilliance,,,,,,,,,,,,,,,,,,,,,
80,1,171,Physicians Formula,10034479366453,matte-monoi-butter-blush,Matte Monoi Butter Blush,Blushes & Bronzers,bronzer,weight,https://www.physiciansformula.com/products/matte-monoi-butter-blush,1711951,,,171_physicians_formula_matte-monoi-butter-blush,,,,,,,,,,,,,,,,,,,,,
81,1,172,Physicians Formula,10034471698741,rose-kiss-all-day-velvet-lip-color-first-kiss,Rosé Kiss All Day Velvet Lip Color | First Kiss,Lipsticks,lipstick,weight,https://www.physiciansformula.com/products/rose-kiss-all-day-velvet-lip-color-first-kiss,1711509,,,172_physicians_formula_rose-kiss-all-day-velvet-lip-color-first-kiss,,,,,,,,,,,,,,,,,,,,,
