list_rank,brand_rank,brand,product_id,handle,title,product_type,category_guess,category_basis,storefront_url,image_count,image_urls,catalogue_file,catalogue_collected_at
20,20,ColourPop,7569851678802,like-a-doll-liquid-blush,Like A Doll,Liquid Blush,liquid_blush,liquid_blush <- 'liquid blush' in product_type|title,https://colourpop.com/products/like-a-doll-liquid-blush,8,https://cdn.shopify.com/s/files/1/1338/0845/files/PinkDreams_LiquidBlush_LikeaDoll_ProductStylized.jpg?v=1776788283|https://cdn.shopify.com/s/files/1/1338/0845/files/Pink_Dreams_Liquid_Blush_Like_a_Doll_Swatch.jpg?v=1787340846|https://cdn.shopify.com/s/files/1/1338/0845/files/PinkDreams_LiquidBlush_LikeaDoll_Model_FullFace.jpg?v=1776788283|https://cdn.shopify.com/s/files/1/1338/0845/files/PinkDreams_LiquidBlush_LikeaDoll_ProductStylized_Bow.jpg?v=1786239706|https://cdn.shopify.com/s/files/1/1338/0845/files/PinkDreams_LiquidBlush_LikeaDoll_Model_Grid.jpg?v=1776788283|https://cdn.shopify.com/s/files/1/1338/0845/files/PinkDreams_LiquidBlush_LikeaDoll_ProductStylized_Pillow.jpg?v=1776788283|https://cdn.shopify.com/s/files/1/1338/0845/files/PinkDreams_LiquidBlush_LikeaDoll_Model_FullFace_Product.jpg?v=1776788283|https://cdn.shopify.com/s/files/1/1338/0845/files/PinkDreams_LiquidBlush_LikeaDoll_ECOM.jpg?v=1776788283,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
21,21,ColourPop,7586234597458,pink-mood-ph-lip-balm,Pink Mood,pH Lip Balm,lipstick,lipstick <- 'lip balm' in product_type|title,https://colourpop.com/products/pink-mood-ph-lip-balm,7,https://cdn.shopify.com/s/files/1/1338/0845/files/PHLipBalm_PinkMood_ECOM.jpg?v=1786233081|https://cdn.shopify.com/s/files/1/1338/0845/files/PHLipBalm_PinkMood_Model_Macro_Lip_Grid_Swatch.jpg?v=1781299630|https://cdn.shopify.com/s/files/1/1338/0845/files/PHLipBalm_PinkMood_Infographic_1.jpg?v=1781299629|https://cdn.shopify.com/s/files/1/1338/0845/files/PHLipBalm_PinkMood_Model_FullFace.jpg?v=1781299629|https://cdn.shopify.com/s/files/1/1338/0845/files/PHLipBalm_PinkMood_Infographic_2.jpg?v=1781299629|https://cdn.shopify.com/s/files/1/1338/0845/files/PHLipBalm_PinkMood_Infographic_3.jpg?v=1781299629|https://cdn.shopify.com/s/files/1/1338/0845/files/PHLipBalm_PinkMood_ProductStylized.jpg?v=1781299629,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
22,22,ColourPop,7587667935314,best-of-both-worlds-shadow-palette,Best of Both Worlds,Shadow Palette,eyeshadow_palette,eyeshadow_palette <- 'shadow palette' in product_type|title,https://colourpop.com/products/best-of-both-worlds-shadow-palette,8,https://cdn.shopify.com/s/files/1/1338/0845/files/HannahMontanaxColourpop_EyeshadowPalete_BestofBothWorlds_ProductStylized.jpg?v=1781717968|https://cdn.shopify.com/s/files/1/1338/0845/files/HannahMontanaxColourpop_EyeshadowPalete_BestofBothWorlds_ECOM.jpg?v=1786238769|https://cdn.shopify.com/s/files/1/1338/0845/files/HannahMontanaxColourpop_EyeshadowPalete_BestofBothWorlds_Model_FullFace_Fair.jpg?v=1781717968|https://cdn.shopify.com/s/files/1/1338/0845/files/HannahMontanaxColourpop_EyeshadowPalete_BestofBothWorlds_Macro_Eye_Fair.jpg?v=1781717968|https://cdn.shopify.com/s/files/1/1338/0845/files/HannahMontanaxColourpop_EyeshadowPalete_BestofBothWorlds_Macro_Eye_Medium_e374ecc6-483e-47bd-9455-538d4a5d8546.jpg?v=1781717968|https://cdn.shopify.com/s/files/1/1338/0845/files/HannahMontanaxColourpop_EyeshadowPalete_BestofBothWorlds_Macro_Eye_Deep.jpg?v=1781717968|https://cdn.shopify.com/s/files/1/1338/0845/files/HannahMontanaxColourpop_EyeshadowPalete_BestofBothWorlds_ArmSwatch.jpg?v=1781717967|https://cdn.shopify.com/s/files/1/1338/0845/files/HannahMontanaxColourpop_EyeshadowPalete_BestofBothWorlds_Model_FullFace_Deep.jpg?v=1781717968,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
23,23,ColourPop,7569523540050,imo-so-juicy-plumping-gloss-balm,IMO,So Juicy Plumping Gloss Balm with Peptides,lip_gloss,lip_gloss <- 'plumping' in product_type|title,https://colourpop.com/products/imo-so-juicy-plumping-gloss-balm,6,https://cdn.shopify.com/s/files/1/1338/0845/files/SoJuicyGlossyBalmStick_IMO_ECOM.jpg?v=1779905135|https://cdn.shopify.com/s/files/1/1338/0845/files/SoJuicyGlossyBalmStick_IMO_Macro_Lip_Grid_Swatch.jpg?v=1779905135|https://cdn.shopify.com/s/files/1/1338/0845/files/SoJuicyPlumpingGlossBalmStick_DinnerDate_ArmSwatch.jpg?v=1779999726|https://cdn.shopify.com/s/files/1/1338/0845/files/SoJuicyPlumpingGlossBalmStick_DinnerDate_Swatch_ShadeName.jpg?v=1779999726|https://cdn.shopify.com/s/files/1/1338/0845/files/SoJuicyGlossyBalmStick_MadeforMe_Infographic.jpg?v=1779905113|https://cdn.shopify.com/s/files/1/1338/0845/files/SoJuicyGlossyBalmStick_IMO_Swatch.jpg?v=1786239035,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
24,24,ColourPop,7494884032594,pretty-aura-cloud-whip-liquid-lipstick,Pretty Aura,Cloud Whip Blurring Liquid Lipstick,liquid_lipstick,liquid_lipstick <- 'liquid lip' in product_type|title,https://colourpop.com/products/pretty-aura-cloud-whip-liquid-lipstick,8,https://cdn.shopify.com/s/files/1/1338/0845/files/CloudWhipBlurringLiquidLipstick_PrettyAura_ECOM_3814827a-36f6-411d-965e-f804e6544d05.jpg?v=1786233799|https://cdn.shopify.com/s/files/1/1338/0845/files/CloudWhipBlurringLiquidLipstick_PrettyAura_Model_LipMacro_55ad7d81-14a8-42b9-ab2b-ae62357c95c1.jpg?v=1778614099|https://cdn.shopify.com/s/files/1/1338/0845/files/CloudWhipBlurringLiquidLipstick_PrettyAura_Infographic_ColourMeetsComfort.jpg?v=1778614099|https://cdn.shopify.com/s/files/1/1338/0845/files/CloudWhipBlurringLiquidLipstick_PrettyAura_Macro_Lip_ModelWears.jpg?v=1778614099|https://cdn.shopify.com/s/files/1/1338/0845/files/CloudWhipBlurringLiquidLipstick_PrettyAura_ArmSwatch.jpg?v=1778614099|https://cdn.shopify.com/s/files/1/1338/0845/files/CloudWhipBlurringLiquidLipstick_PrettyAura_Infographic.jpg?v=1778614099|https://cdn.shopify.com/s/files/1/1338/0845/files/CloudWhipBlurringLiquidLipstick_PrettyAura_FullFace_Model.jpg?v=1778614101|https://cdn.shopify.com/s/files/1/1338/0845/files/CloudWhipBlurringLiquidLipstick_PrettyAura_Product_Stylized.jpg?v=1778614099,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
25,25,ColourPop,7494888030290,love-at-first-swipe-shadow-stix,Love At First Swipe,Shadow Stix,eyeshadow_single,eyeshadow_single <- 'shadow stix' in product_type|title,https://colourpop.com/products/love-at-first-swipe-shadow-stix,6,https://cdn.shopify.com/s/files/1/1338/0845/files/HeartToGet_Kit_LoveAtFirstSwipe_ProductStylized.jpg?v=1768423418|https://cdn.shopify.com/s/files/1/1338/0845/files/HeartToGet_Kit_LoveAtFirstSwipe_ProductSwatch_Grid.jpg?v=1768423418|https://cdn.shopify.com/s/files/1/1338/0845/files/HeartToGet_Kit_LoveAtFirstSwipe_Model_EyeMacro_Medium_c0875fce-587b-47e1-8493-7dd5d2a0727e.jpg?v=1768424090|https://cdn.shopify.com/s/files/1/1338/0845/files/HeartToGet_Kit_LoveAtFirstSwipe_Model_EyeMacro_Light.jpg?v=1768423418|https://cdn.shopify.com/s/files/1/1338/0845/files/HeartToGet_Kit_ForYourEyesOnly_Infographic.jpg?v=1768424090|https://cdn.shopify.com/s/files/1/1338/0845/files/HeartToGet_Kit_LoveAtFirstSwipe_Model_ECOM.jpg?v=1768494698,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
26,26,ColourPop,7524465115218,am-i-the-drama-blush-stix,Am I The Drama?,Blush Stix,cream_blush,cream_blush <- 'blush stix' in product_type|title,https://colourpop.com/products/am-i-the-drama-blush-stix,7,https://cdn.shopify.com/s/files/1/1338/0845/files/BlushStix_AmItheDrama__ECOM_2c1a2d8d-2e93-4349-8edb-de471032004e.jpg?v=1786233572|https://cdn.shopify.com/s/files/1/1338/0845/files/BlushStix_AmItheDrama__Swatch_ed9991f7-20bf-451d-b01d-5b78c6c4dafe.jpg?v=1778555934|https://cdn.shopify.com/s/files/1/1338/0845/files/BlushStix_AmItheDrama__Macro_Face_Grid_fe6763ab-a20e-4b4e-bad2-c5434356e5f8.jpg?v=1778555934|https://cdn.shopify.com/s/files/1/1338/0845/files/BlushStix_AmItheDrama_Swatch_Schematic.jpg?v=1778555934|https://cdn.shopify.com/s/files/1/1338/0845/files/BlushStix_AmItheDrama__Model_FullFace_Fair_18f9b351-4f35-4bde-adda-1b03d3d1d193.jpg?v=1778555934|https://cdn.shopify.com/s/files/1/1338/0845/files/BlushStix_AmItheDrama__Infographic_da41bced-bc38-4fc4-9217-708fd3a9325e.jpg?v=1778555934|https://cdn.shopify.com/s/files/1/1338/0845/files/BlushStix_AmItheDrama_Product_Stylized_c64f18c2-3e46-41ab-aa2f-fc13c7fa9571.jpg?v=1778555934,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
27,27,ColourPop,7525265997906,not-a-guppy-multichrome-highlighter,Not A Guppy,Mega Highlighter,highlighter,highlighter <- 'highlight' in product_type|title,https://colourpop.com/products/not-a-guppy-multichrome-highlighter,7,https://cdn.shopify.com/s/files/1/1338/0845/files/LittleMermaid_MultichromeHighlighter_NotaGuppy_ProductStylized.jpg?v=1774225665|https://cdn.shopify.com/s/files/1/1338/0845/files/LittleMermaid_MultichromeHighlighter_NotaGuppy_Model_CheekMacro_Grid.jpg?v=1774225665|https://cdn.shopify.com/s/files/1/1338/0845/files/LittleMermaid_MultichromeHighlighter_NotaGuppy_ProductSwatch.jpg?v=1774225665|https://cdn.shopify.com/s/files/1/1338/0845/files/LittleMermaid_MultichromeHighlighter_NotaGuppy_ModelFullFace.jpg?v=1774225665|https://cdn.shopify.com/s/files/1/1338/0845/files/LittleMermaid_MultiChromeHighlighters_NotaGuppy_ArmSwatches.jpg?v=1774225665|https://cdn.shopify.com/s/files/1/1338/0845/files/LittleMermaid_MultichromeHighlighter_NotaGuppy_ProductStylized2.jpg?v=1774225665|https://cdn.shopify.com/s/files/1/1338/0845/files/LittleMermaid_MultichromeHighlighter_NotaGuppy_ECOM.jpg?v=1774303968,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
28,28,ColourPop,7494887440466,ash-brown-brow-boss-pencil,Ash Brown,Brow Boss Pencil,brow,brow <- 'brow' in product_type|title,https://colourpop.com/products/ash-brown-brow-boss-pencil,9,https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBossBrowPencil_AshBrown_ECOM.jpg?v=1766262097|https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBossBrowPencil_Blonde_Macro_Eye_Grid.jpg?v=1766262267|https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBossBrowPencil_Blonde_Model_Claims.jpg?v=1766261741|https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBossBrowPencil_Blonde_ArmSwatch.jpg?v=1766261741|https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBoss_ContentCard_Mobile_369x562_9d5b881a-25a7-4afa-bc67-f4e81d365846.jpg?v=1770680652|https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBossBrowPencil_Blonde_Product_Stylized.jpg?v=1770680645|https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBossBrowPencil_Blonde_Model_Infographic.jpg?v=1770680645|https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBossBrowPencil_Blonde_Infographic.jpg?v=1770680652,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
29,29,ColourPop,7556523196498,sands-beach-liquid-bronzer,Sands Beach,Liquid Bronzer,bronzer,bronzer <- 'bronzer' in product_type|title,https://colourpop.com/products/sands-beach-liquid-bronzer,9,https://cdn.shopify.com/s/files/1/1338/0845/files/LiquidBronzer_SandsBeach_ECOM.jpg?v=1786233295|https://cdn.shopify.com/s/files/1/1338/0845/files/Liquid_Bronzer_Sands_Beach_Swatch.jpg?v=1786233321|https://cdn.shopify.com/s/files/1/1338/0845/files/LiquidBronzer_SandsBeach_Model_FullFace.jpg?v=1776360391|https://cdn.shopify.com/s/files/1/1338/0845/files/LiquidBronzer_SandsBeach_BeforeandAfter.jpg?v=1776360391|https://cdn.shopify.com/s/files/1/1338/0845/files/LiquidBronzer_SandsBeach_ArmSwatch.png?v=1776360391|https://cdn.shopify.com/s/files/1/1338/0845/files/LiquidBronzer_SandsBeach_Infographic-1.jpg?v=1776360391|https://cdn.shopify.com/s/files/1/1338/0845/files/LiquidBronzer_SandsBeach_Model_Face_Grid.jpg?v=1776360391|https://cdn.shopify.com/s/files/1/1338/0845/files/LiquidBronzer_SandsBeach_FindYourShade.jpg?v=1776360391,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
